circuit_id,n_qubits,gate_count,observable_size,is_projector,is_stabilizer,epsilon,delta,bernstein,n_threads,xi,h_old,h_new,result,requested_shots,variance_shots,variance_hat,std_hat,sigma_max,variance_bound,observable_norm,observable_norm_is_exact,cpu_time_ns,wall_time_ns
66,64,128,1,1,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,1.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1,538000,560455
67,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,4.171717261070e+05,20036203119650,26078913,-5.975093536189e-18,0,21913119,6.508275541620e-39,3.365486339344e-14,3.824860634707e+02,1.462955887493e+05,1.000000000000e+00,1,4178522679000,185990327138
68,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.049228258827e+05,4834664762917,12810473,0.000000000000e+00,0,10764148,0.000000000000e+00,0.000000000000e+00,2.680731786527e+02,7.186322911298e+04,1.000000000000e+00,1,2000377456000,93155502576
69,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,6.459684532780e+05,48040587667811,40381818,1.935489168664e-17,0,33931311,2.534860104781e-38,1.028462136035e-13,4.759527424061e+02,2.265310130039e+05,1.000000000000e+00,1,6515454410000,286436632145
70,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,5.519456784302e+05,35073440330479,34504117,-2.419647136485e-18,0,28992500,2.324999432655e-40,8.416039456996e-15,4.399530671166e+02,1.935587012653e+05,1.000000000000e+00,1,5539877311000,244117173819
71,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.570536633893e+06,283976129237238,98179894,3.365112569635e-18,0,82496858,1.529134456344e-39,6.141449828727e-14,7.421337927625e+02,5.507625663601e+05,1.000000000000e+00,1,16099830468000,691723787959
72,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.454197097150e+06,243462591107693,90907092,4.186483862573e-19,0,76385796,2.485703399311e-40,2.292703671729e-14,7.141177200087e+02,5.099641180305e+05,1.000000000000e+00,1,15019247537000,642957465171
73,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,8.327381989832e+05,79836716437976,52057465,0.000000000000e+00,0,43741918,0.000000000000e+00,0.000000000000e+00,5.403963644641e+02,2.920282307261e+05,1.000000000000e+00,1,8421278800000,366290208545
74,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.313651152532e+06,198676177392994,82121060,-2.315522777887e-18,0,69003225,6.708762278807e-39,1.075972700968e-13,6.787318007883e+02,4.606768574013e+05,1.000000000000e+00,1,13508460942000,597233403529
75,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.769778178866e+06,360598042676658,110635198,6.211672257687e-19,0,92962581,1.508475492436e-41,6.873658719272e-15,7.878029264237e+02,6.206334508817e+05,1.000000000000e+00,1,18103615265000,796747520791
